FID,OSREF,COUNTRY,Year,Shape_Leng,Field,Current_Ye,Country_Si,F_year,Shape__Area,Shape__Length
1,NL57,Scotland,0,40000,0, ,Scotland,,100000000,40000
2,NL58,Scotland,0,40000,0, ,Scotland,,100000000,40000
3,NL68,Scotland,0,40000,0, ,Scotland,,100000000,40000
4,NF60,Scotland,0,40000,0, ,Scotland,,100000000,40000
5,NF61,Scotland,0,40000,0, ,Scotland,,100000000,40000
6,NL79,Scotland,0,40000,0, ,Scotland,,100000000,40000
7,NF71,Scotland,2021,40000,0, ,Scotland,2021/01/01 00:00:00+00,100000000,40000
8,NF72,Scotland,2019,40000,0, ,Scotland,2019/01/01 00:00:00+00,100000000,40000
9,NF73,Scotland,0,40000,0, ,Scotland,,100000000,40000
10,NF74,Scotland,0,40000,0, ,Scotland,,100000000,40000
11,NF75,Scotland,0,40000,0, ,Scotland,,100000000,40000
12,NF77,Scotland,0,40000,0, ,Scotland,,100000000,40000
13,SV80,England,0,40000,0, ,England,,100000000,40000
14,SV81,England,0,40000,0, ,England,,100000000,40000
15,NL82,Scotland,0,40000,0, ,Scotland,,100000000,40000
16,NF81,Scotland,0,40000,0, ,Scotland,,100000000,40000
17,NF82,Scotland,0,40000,0, ,Scotland,,100000000,40000
18,NF83,Scotland,0,40000,0, ,Scotland,,100000000,40000
19,NF85,Scotland,0,40000,0, ,Scotland,,100000000,40000
20,NF86,Scotland,0,40000,0, ,Scotland,,100000000,40000
21,NF87,Scotland,0,40000,0, ,Scotland,,100000000,40000
22,SV90,England,0,40000,0, ,England,,100000000,40000
23,SV91,England,0,40000,0, ,England,,100000000,40000
24,NL93,Scotland,0,40000,0, ,Scotland,,100000000,40000
25,NL94,Scotland,0,40000,0, ,Scotland,,100000000,40000
26,NF95,Scotland,0,40000,0, ,Scotland,,100000000,40000
27,NF96,Scotland,0,40000,0, ,Scotland,,100000000,40000
28,NF97,Scotland,0,40000,0, ,Scotland,,100000000,40000
29,NF99,Scotland,0,40000,0, ,Scotland,,100000000,40000
30,NA90,Scotland,0,40000,0, ,Scotland,,100000000,40000
31,NA91,Scotland,0,40000,0, ,Scotland,,100000000,40000
32,NA92,Scotland,0,40000,0, ,Scotland,,100000000,40000
33,NA93,Scotland,0,40000,0, ,Scotland,,100000000,40000
34,NM04,Scotland,0,40000,0, ,Scotland,,100000000,40000
35,NG08,Scotland,0,40000,0, ,Scotland,,100000000,40000
36,NG09,Scotland,0,40000,0, ,Scotland,,100000000,40000
37,NB00,Scotland,0,40000,0, ,Scotland,,100000000,40000
38,NB01,Scotland,0,40000,0, ,Scotland,,100000000,40000
39,NB02,Scotland,0,40000,0, ,Scotland,,100000000,40000
40,NB03,Scotland,0,40000,0, ,Scotland,,100000000,40000
41,NR15,Scotland,0,40000,0, ,Scotland,,100000000,40000
42,NR16,Scotland,0,40000,0, ,Scotland,,100000000,40000
43,NM14,Scotland,0,40000,0, ,Scotland,,100000000,40000
44,NM15,Scotland,0,40000,0, ,Scotland,,100000000,40000
45,NM16,Scotland,0,40000,0, ,Scotland,,100000000,40000
46,NM19,Scotland,0,40000,0, ,Scotland,,100000000,40000
47,NG13,Scotland,0,40000,0, ,Scotland,,100000000,40000
48,NG14,Scotland,2020,40000,0, ,Scotland,2020/01/01 00:00:00+00,100000000,40000
49,NG15,Scotland,0,40000,0, ,Scotland,,100000000,40000
50,NG18,Scotland,0,40000,0, ,Scotland,,100000000,40000
51,NG19,Scotland,0,40000,0, ,Scotland,,100000000,40000
52,NB10,Scotland,0,40000,0, ,Scotland,,100000000,40000
53,NB11,Scotland,0,40000,0, ,Scotland,,100000000,40000
